Year,Trifd,Frs_id,Facility,Street_address,City,County,State,Zip,Latitude,Longitude,Company_name,Federal_facility,Industry_sector,Chemical,Carcinogen
2021,28111TLDYN2020A,110000348589.0,ATI SPECIALTY MATERIALS - MONROE PLANT,2020 ASHCRAFT AVE,MONROE,UNION,NC,28110,34.984,-80.51337,ALLEGHENY TECHNOLOGIES INC,NO,Primary Metals,Cobalt,YES
2021,2869WJSTRT186RI,110070551070.0,U.S. CHEMICAL STORAGE LLC,1806 RIVER ST,WILKESBORO,WILKES,NC,28697,36.137753,-81.19141,JUSTRITE SAFETY GROUP,NO,Fabricated Metals,Ethylbenzene,YES
2021,28402FRTRNHWY42,110009842536.0,FORTRON INDUSTRIES LLC,4600 HWY 421 NORTH,WILMINGTON,NEW HANOVER,NC,28401,34.3138,-77.9801,CELANESE CORP,NO,Chemicals,N-Methyl-2-pyrrolidone,NO
2021,28075MNRLRHWY49,110057679739.0,VENATOR CHEMICALS LLC,5910 PHARR MILL RD,HARRISBURG,CABARRUS,NC,28075,35.33417,-80.6177,VENATOR AMERICAS LLC,NO,Chemicals,Lead,YES
2021,28621PRDFRHWY26,110001491699.0,PERDUE FARMS INC ELKIN FEED MILL,105 GREENWOOD CIR,ELKIN,SURRY,NC,28621,36.27586,-80.766,PERDUE FARMS INC,NO,Food,Manganese compounds,NO
2021,2827WCMMRC1337J,110046279059.0,COMMERCIAL MERCHANDISING CORP,1337 J WOOD BRANCH DRIVE,CHARLOTTE,MECKLENBURG,NC,28273,35.125384,-80.925035,NA,NO,Chemicals,N-Methyl-2-pyrrolidone,NO
2021,28139RVSBRRAILR,110000586624.0,TRELLEBORG COATED SYSTEMS US INC,715 RAILROAD AVE & HWY 74,RUTHERFORDTON,RUTHERFORD,NC,28139,35.37798,-81.94629,TRELLEBORG INDUSTRIES,NO,Textiles,Lead compounds,NO
2021,27107CRNPR4501O,110000861032.0,INGREDION INC - WINSTON SALEM PLANT,4501 OVERDALE RD,WINSTON SALEM,FORSYTH,NC,27107,36.032491,-80.228696,INGREDION INC,NO,Food,Acetaldehyde,YES
2021,27377NGNRD1239R,110000346466.0,ENGINEERED CONTROLS INTERNATIONAL,1239 ROCK CREEK DAIRY RD,WHITSETT,GUILFORD,NC,27377,36.0525,-79.59969,ENGINEERED CONTROLS INTERNATIONAL,NO,Fabricated Metals,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO
2021,2740WNLSTL15WES,110043975062.0,O'NEAL MANUFACTURING SERVICES,105 E FLORIDA ST,GREENSBORO,GUILFORD,NC,27406,36.048816,-79.791365,O'NEAL MANUFACTURING SERVICES,NO,Fabricated Metals,Chromium,NO
2021,28302DPNTFHIGHW,110000559609.0,CHEMOURS CO - FAYETTEVILLE WORKS,22828 NC HWY 87 W,FAYETTEVILLE,BLADEN,NC,28306,34.8419,-78.8388,THE CHEMOURS CO,NO,Plastics and Rubber,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO
2021,28669HLLYFHWYNC,110009856263.0,TYSON FARMS INC. - ROARING RIVER FEED MILL,179 ROARING RIVER ROAD,ROARING RIVER,WILKES,NC,28669,36.2044,-81.0047,TYSON FOODS INC,NO,Food,Copper compounds,NO
2021,28144NTNLSCEDAR,110056525835.0,HENKEL US OPERATIONS CORP,825 CEDAR SPRINGS RD,SALISBURY,ROWAN,NC,28147,35.63367,-80.53335,HENKEL OF AMERICA INC,NO,Chemicals,Ethylbenzene,YES
2021,27260FFNCN1300P,110010293761.0,FUTURE FOAM INC,1300 PROSPECT,HIGH POINT,GUILFORD,NC,27260,35.926111,-80.023056,FUTURE FOAM INC,NO,Plastics and Rubber,Diethanolamine,NO
2021,28110GRGGL700NO,110000348507.0,GOULSTON TECHNOLOGIES,700 N JOHNSON ST,MONROE,UNION,NC,28110,34.98793,-80.55847,NA,NO,Chemicals,Nonylphenol Ethoxylates,NO
2021,28214TRNSM7401O,110000492672.0,BLANCHARD TERMINAL CO - CHARLOTTE EAST NC TERMINAL,7401 OLD MT HOLLY RD,CHARLOTTE,MECKLENBURG,NC,28214,35.277522,-80.931366,MARATHON PETROLEUM CORP,NO,Petroleum Bulk Terminals,Polycyclic aromatic compounds,YES
2021,28307DPTFRDIREC,110064176877.0,U.S. ARMY FORT BRAGG,DPW ENV COMPLIANCE BRANCH BLDG 3-1137 REILLY RD,FORT BRAGG,CUMBERLAND,NC,28310,35.15705,-79.00036,US DEPARTMENT OF DEFENSE,YES,Other,Benzene,YES
2021,27606SRTRN4001B,110000347241.0,SURTRONICS INC.,4001 BERYL RD,RALEIGH,WAKE,NC,27606,35.79463,-78.6941,NA,NO,Fabricated Metals,Nitric acid,NO
2021,27962WYRHSTROWB,110013794000.0,DOMTAR PAPER CO LLC-PLYMOUTH MILL,TROWBRIDGE RD,PLYMOUTH,MARTIN,NC,27962,35.861716,-76.779683,DOMTAR CORP,NO,Paper,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO
2021,27260MRCNM500MA,110000345733.0,AMERICAN METAL TREATING INC.,500 MANLEY ST,HIGH POINT,GUILFORD,NC,27260,35.95178,-79.97732,NA,NO,Fabricated Metals,Ammonia,NO
